RED,IR,ECG
185160,227299,2205
185176,227401,2056
185488,228217,2144
185510,228233,2230
185617,228602,2173
185598,228581,2116
185089,226864,2212
185398,227846,2135
185281,227768,2119
185605,228533,2117
185578,228516,2105
185631,228522,2131
185139,227096,2156
185086,226969,2129
185419,227982,2148
185409,227899,1726
185583,228644,1972
185597,228501,1903
185628,228749,1929
185253,227508,1885
185281,227625,1837
185506,228397,1868
185540,228431,2108
185534,228393,2119
185614,228760,2178
185645,228815,2222
185455,228175,2265
185540,228283,2231
185554,228703,2268
185530,228740,2267
185625,228806,2281
185460,228384,2163
185350,227795,2200
185444,228156,2313
185480,228178,2213
185477,228188,2271
185637,228728,1288
185559,228729,2169
185086,227127,2273
185169,227197,2147
185432,228186,2144
185446,228249,2047
185587,228752,2343
185545,228701,2180
185290,227735,2266
185309,227795,2153
185319,227870,2191
185595,228567,2089
185503,228443,2255
185623,228838,2331
185553,228891,2181
185421,228104,2171
185588,228282,2099
185635,228684,2201
185546,228602,2217
185625,228850,2212
185652,228562,2141
185391,228015,2168
185461,228294,2142
185481,228299,2083
185571,228777,2299
185680,228771,2169
185271,227545,2173
185158,227540,2105
185552,228568,2165
185610,228571,1919
185637,228876,2191
185706,228912,2152
185646,228951,2230
185275,227804,2166
185312,227826,2129
185540,228523,2140
185610,228526,2272
185552,228601,2314
185611,228892,2318
185511,228886,2197
185289,227585,2217
185316,227662,2167
185545,228427,2152
185565,228373,2262
185596,228597,2311
185599,228845,2228
185630,228737,2159
185297,227705,2204
185263,227841,2064
185300,227735,2112
185474,228441,2096
185454,228430,2045
185129,227512,2114
185104,227232,2105
185334,228212,2120
185368,228288,2197
185499,228604,2310
185491,228725,2230
185532,228710,2108
185208,227582,2183
185130,227633,1953
185190,227697,1943
185389,228477,1898
185387,228582,2038
185532,228800,2116
185527,228695,2047
185225,227783,2098
185328,227870,2123
185345,228271,2183
185394,228473,2098
185367,228416,2259
185531,228811,2312
185342,228644,2266
185272,228038,2293
185321,228103,2225
185333,228084,2199
185469,228637,2359
185511,228656,2201
184961,227131,2243
185013,227223,2148
185295,228018,2229
185326,228133,2129
185410,228259,2295
185439,228809,2332
185518,228805,2147
185553,228840,2219
185224,227687,2178
185173,227740,2075
185521,228645,2099
185435,228606,2212
185470,228751,2269
185605,228941,2235
185507,228940,2143
185328,228212,2171
185325,228292,2136
185475,228700,2163
185444,228662,2086
185491,228830,2136
185203,227846,2089
185093,227575,2172
185287,228190,2218
